period,team,opponent,is_home,cats_won,cats_lost,cats_tied,team_AVG,team_R,team_HR,team_RBI,team_SB,team_K,team_W,team_SV,team_HLD,team_ERA,team_WHIP,opp_AVG,opp_R,opp_HR,opp_RBI,opp_SB,opp_K,opp_W,opp_SV,opp_HLD,opp_ERA,opp_WHIP
1,Southside Hitmen,The Fellowship of the Skenes,1,6,5,0,0.22916667,30.0,5.0,39.0,13.0,106.0,5.0,9.0,1.0,3.2238806,1.05223881,0.22121212,50.0,11.0,44.0,12.0,102.0,3.0,0.0,2.0,3.85714286,1.04761905
1,The Fellowship of the Skenes,Southside Hitmen,0,5,6,0,0.22121212,50.0,11.0,44.0,12.0,102.0,3.0,0.0,2.0,3.85714286,1.04761905,0.22916667,30.0,5.0,39.0,13.0,106.0,5.0,9.0,1.0,3.2238806,1.05223881
1,Brian's Optimum Team,EL TORNADO,1,7,2,2,0.28289474,59.0,19.0,56.0,6.0,73.0,3.0,4.0,0.0,2.65803109,1.25906736,0.22297297,39.0,9.0,33.0,4.0,59.0,5.0,4.0,0.0,4.63313609,1.15384615
1,EL TORNADO,Brian's Optimum Team,0,2,7,2,0.22297297,39.0,9.0,33.0,4.0,59.0,5.0,4.0,0.0,4.63313609,1.15384615,0.28289474,59.0,19.0,56.0,6.0,73.0,3.0,4.0,0.0,2.65803109,1.25906736
1,Pete's Perfect Team,Sh'Dynasty,1,6,4,1,0.25714286,45.0,13.0,41.0,2.0,59.0,3.0,1.0,0.0,2.93023256,1.04651163,0.2228739,40.0,9.0,33.0,5.0,80.0,6.0,5.0,0.0,3.26511628,1.06046512
1,Sh'Dynasty,Pete's Perfect Team,0,4,6,1,0.2228739,40.0,9.0,33.0,5.0,80.0,6.0,5.0,0.0,3.26511628,1.06046512,0.25714286,45.0,13.0,41.0,2.0,59.0,3.0,1.0,0.0,2.93023256,1.04651163
1,Antonio's Astounding Team,Bay County Buccaneers,1,1,9,1,0.20723684,39.0,9.0,34.0,5.0,62.0,3.0,3.0,1.0,3.43636364,1.14545455,0.26979472,48.0,12.0,47.0,9.0,42.0,3.0,5.0,4.0,3.04511278,1.12781955
1,Bay County Buccaneers,Antonio's Astounding Team,0,9,1,1,0.26979472,48.0,12.0,47.0,9.0,42.0,3.0,5.0,4.0,3.04511278,1.12781955,0.20723684,39.0,9.0,34.0,5.0,62.0,3.0,3.0,1.0,3.43636364,1.14545455
1,Captain Phillips,Ellz Bellz,1,2,5,4,0.25471698,45.0,17.0,45.0,7.0,73.0,6.0,4.0,0.0,3.80454545,1.07727273,0.26282051,55.0,17.0,56.0,7.0,92.0,6.0,1.0,0.0,3.78947368,1.26315789
1,Ellz Bellz,Captain Phillips,0,5,2,4,0.26282051,55.0,17.0,56.0,7.0,92.0,6.0,1.0,0.0,3.78947368,1.26315789,0.25471698,45.0,17.0,45.0,7.0,73.0,6.0,4.0,0.0,3.80454545,1.07727273
